File,Title,Artist,Release,Duration,BPM,Ratio Bars in 4,Time Signature,Genre,MusicBrainz Id,Acoustid Id,Live Link
0004_abc,ABC,The Jackson 5,Hits for Kids Pop Party 8,180.955,94,94.59459459,4|4,Pop-Rock,5f1604ed-5c6b-4a85-8391-15aa61ae7f98,88ddde1c-8009-497a-b295-e61125bb5162,https://www.youtube.com/watch?v=ho7796-au8U
0010_andjusticeforall,...and Justice for All (LP version),Metallica,...and Justice for All,592.11,172,65.33333333,6|4,Metal,51a78bee-4ef0-4b5b-96ea-f2878f3d7993,686fe18e-a9af-444f-b21d-0a93e80addfb,https://www.youtube.com/watch?v=bY9Y1DT5dyI
0036_breakingthegirl,Breaking the Girl,Red Hot Chili Peppers,Blood Sugar Sex Magik,300.908,89,0,6|8,Alternative,f5d125a0-e578-4a33-b026-4527a7682e66,7b193638-c6f1-43dc-ba62-25d7bf6f138f,https://www.youtube.com/watch?v=-04PwvSq7es
0055_constantmotion,Constant Motion,Dream Theater,Terrorizer: Fear Candy 47,422.09,180,92.35880399,4|4,Prog,de9a40e7-3638-4e4b-8d1b-77e9d6f141ed,d8dbebc0-5afc-41d3-8037-568fa53402ed,https://www.youtube.com/watch?v=6Hzaf4SWzow
0119_gunpowderandlead,Gunpowder & Lead,Miranda Lambert,Crazy Ex-Girlfriend,190.08,94,97.22222222,4|4,Country,27b569a1-491b-4847-8aff-194df023dc5f,29ea1def-1222-494d-9c5d-0c939364512a,https://www.youtube.com/watch?v=ajoI8X8Ys94
0179_moveslikejagger,Moves Like Jagger,Maroon 5 feat. Christina Aguilera,Nossa! Summer Mix 2012,185.792,127,100,4|4,Pop,d91453b3-e3f0-4d3d-89ac-b702a7812c18,e5199749-22f1-4bec-9d14-69446bc59701,https://www.youtube.com/watch?v=FfOSS1i1gqA
0265_straightlines,Straight Lines,Silverchair,Young Modern,258.71,128,90,4|4,Rock,c694f166-5a5e-4544-9e54-47c64f770035,1f22be29-b1c3-45cf-8b9a-2ddf5a13d473,https://www.youtube.com/watch?v=fOU9LMME9fg
0321_wonderwall,Wonderwall,Oasis,Wonderwall EP,268.123,87,98.95833333,4|4,Rock,0019d958-48d0-3b49-bb52-ea5b53ecdd33,db296c8e-77f1-4137-ae68-f6bb2749d15b,https://www.youtube.com/watch?v=Ve1EbKsNCdw
0343_banjo,Banjo,Rascal Flatts,"Promo Only: Country Radio, March 2012",224.748,102,99.47089947,4|4,Country,a3a89be0-dbfd-4abb-923a-1ad480332250,28aae86b-6dd0-4a29-8e88-81f6dccabcd0,https://www.youtube.com/watch?v=6GeTxu0J06c
0367_dontdreamitsover,Don't Dream It's Over,Crowded House,NOW That's What I Call the 80s Hits,237.716,81,100,4|4,Pop,acd06f90-79fe-49f6-881a-5250d896bed9,0bff06e4-a0f4-4d5c-b41e-69decd80f238,https://www.youtube.com/watch?v=I52eefwAKDE
